stt,thoigian,giaphong,dientich,diachi,chitiet
325,Tin môi giới đăng 4 tuần trước,"3,8 triệu/tháng- 28 m2",28 m²,"71A/71, Đường Nguyễn Thị Định, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","*Nhà mình hiện có 1 phòng trống do có bạn vừa chuyển công tác vào Sài Gòn. (Xem ảnh).
Phòng rộng rãi, ban công rộng rãi, nhiều ánh sáng, thoáng mát.
28m2, khép kín sạch sẽ sáng thoáng. 

*Nội thất: 
+ Giường, tủ, bàn ghế. 
+ Tủ lạnh, bếp, nóng lạnh đầy đủ. 
+ THANG MÁY Nhật Bản.
+ Khu phơi đồ được thiết kế kính chịu lực đảm bảo không sợ mưa gió mà vẫn hút được nhiều ánh sáng và gió trời giúp cho quần áo nhanh khô.

Nhà ở riêng, không chung chủ, giờ giấc thoải mái. 
+ Hệ thống Camera.
+ Hệ thống Internet.
+ Khóa vân tay đảm bảo an ninh tuyệt đối."
323,Tin môi giới đăng 3 ngày trước,"3,6 triệu/tháng- 25 m2",25 m²,"Đường 19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội","💥 VĂN QUÁN - PHÒNG 25m2 KHÉP KÍN, ĐỦ TIỆN NGHI SÀN GỖ
👉  Cho thuê phòng vệ sinh khép kín
Phòng rộng 35m2, đủ nóng lạnh, điều hoà, giường tủ, bàn bếp, sàn gỗ, view đẹp
Oto đỗ cửa
Nằm trên đường 19/5 cách hồ Văn Quán 200m
👉  Giá: 3.6tr
Chính chủ cho thuê"
329,Tin cá nhân đăng 15 giờ trước,"3,7 triệu/tháng GIÁ TỐT- 30 m2",30 m²,"106 Ngõ 72/2, Đường Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","-Bạn đang mong muốn sống trong 1 căn phòng thoáng đẹp khép kín của chung cư mini tiện nghi, thoải mái, yên tĩnh, thoáng mát, tự do giờ giấc như chính nhà của mình? Bạn đang mong muốn thuê căn phòng giá cả hợp lý mà lại rất chất lượng?
Hiện tại mình đang có phòng tại:
- Địa chỉ: Số nhà 106, ngách 2/5, ngõ 72, đường Dương Quảng Hàm, phường Quan Hoa, quận Cầu Giấy, Hà Nội (cạnh chợ Quan Hoa)
Nhà gần Cầu Giấy chỉ mất 2 phút đi xe, cách lottemart 5 phút đi xe, cách công viên Nghĩa Đô 5 phút đi bộ; cách phố Quan Hoa, đường Cầu Giấy 100m; cách đường Nguyễn Văn Huyên 200m, Nguyễn Khánh Toàn 100m….
- Tiện ích trong 1 phòng KK gồm:
+ Điều hòa
+ Giường cho bạn giấc ngủ ngon.
+ Tủ áo quần cho bạn gọn gàng ngăn nắp.
+ Nóng lạnh an toàn chống giật...
+ Khu vệ sinh khép kín, riêng biệt có đầy đủ TBVS cho bạn riêng tư, kín đáo, sạch sẽ.
+ Khu bếp riêng biệt không lo ám mùi vào phòng
+ Có chỗ để đồ riêng gọn gàng cho căn phòng thêm rộng rãi.
+ Có cửa sổ thoáng mát, ban công để máy giặt phơi đồ thoáng rộng tách biệt với phòng ngủ.
- Nhà có chỗ để xe ở tầng 1 rộng rãi miễn phí không lo trầy xước
- Giờ giấc thoải mái không chung chủ. Có khóa vân tay, khóa cơ, camera an ninh an toàn cho tài sản của bạn.
- Không gian sống thoáng mát, yên tĩnh, sạch sẽ, có vệ sinh lau dọn hàng tuần.
- Phòng rộng: 30m2
- Giá: 3.7 tr
- Liên hệ: Mr Lực (Chính chủ không qua môi giới)
(Ưu tiên hộ gia đình; Các bạn sinh viên ở sạch sẽ; người đi làm tử tế, lịch sự, ở lâu dài)"
328,Tin môi giới đăng 2 tháng trước,1 triệu/tháng- 30 m2,30 m²,"số 103 ngõ 101, Đường Đại La, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","Cần tìm bạn ở ghép home stay ĐẠI LA 
Phòng số 103 ngõ 101 Đại La, cách các trường bách kinh xây 5 phút. 
Giá 1 triệu/ 1 người/tháng bao điện nước mạng. Giờ giấc tự do thoải mái. 
Để xe t1 miễn phí. Bếp nấu ăn T1 và t5. 
Tiện đi các hướng, Minh Khai, Kim Ngưu, cầu Định Công, lên phố cổ. 
Rộng 30m2, mỗi người 1 giường. Có cửa sổ thoáng. 
Có đủ điều hòa nóng lạnh, tủ lạnh, máy giặt. Mùa hè có điều hòa nên cực mát, không lo bị nóng nhé. 
Không chung chủ, giờ giấc tmai. 
Đóng 1 cọc 1. Phòng hiện tại ở được luôn. 
Liên hệ chính chủ xem phòng, thuê phòng không mất phí, gọi trực tiếp nhé vì mình ít khi nhắn tin."
322,Tin môi giới đăng 3 ngày trước,"3,8 triệu/tháng- 30 m2",30 m²,"Đường Quan Hoa, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","Chính chủ còn 1 căn hộ cần cho thuê tại  
- 277 Quan Hoa, Cầu Giấy
- Diện tích: 28m2 ( cực rộng)
- Có đầy đủ: Điều hoà, nóng lạnh, giường- tủ quần áo, tủ lạnh, sofa, bếp và tủ bếp, quạt trần, hút mùi, thang máy, máy giặt,...
- Phòng mới đẹp, cửa sổ cực to và thoáng mát
- Khu vực trung tâm, gần Lotte các siêu thị, nhà hàng, chợ, ...
- Cạnh các tuyến phố lớn Nguyễn Khánh Toàn, Đào Tấn, Hoàng Quốc Việt, Đội Cấn,...
- Gần các trường đại học: Giao Thông, Thủ Đô, Sư Phạm, Báo chí, Quốc Gia,..
  Liên hệ Anh Hiếu xem phòng trực tiếp không qua môi giới trung gian"
320,Tin cá nhân đăng 3 ngày trước,"1,2 triệu/tháng- 12 m2",12 m²,"8/23, Đường Nguyễn Ngọc Vũ, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","Chính chủ cho thuê phòng diện tích 12m2 . Phồng sạch sẽ thoáng mát , có cửa sổ , có nhà để xe . Nước máy sạch , có in ternet . Không gian yên tĩnh , an ninh rất tốt . Nhà gần đường lớn và bến xe buýt rất thuận tiện đi lại . Đc : số 8 ngõ 23 Nguyễn Ngọc Vũ"
334,Tin môi giới đăng hôm qua,"1,2 triệu/tháng- 13 m2",13 m²,"Ngõ 8c/1 trần đại nghĩa SN 14a, Đường Trần Đại Nghĩa, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội","Ngõ 8c/1 trần đại nghĩa SN 14a 1tr2 1tr8 2tr5 3tr/t khép kín
Có 5 phòng ở luôn,riêng chủ,đi lại tự do,đóng tiền theo tháng,điện :3500/số,nước :90k/người/tháng,ở được 1 đến 3 bạn/phòng nhé,ngay trung tâm,gần nhiều trường ĐH công ty,siêu thị,ngay đại la,lê thanh nghị,căn to có nóng lạnh,điều hoà,phù hợp cho sinh viên,người đi làm nhé,gia đình ở nhé,cách buýt 300m."
331,Tin môi giới đăng hôm qua,"1,5 triệu/tháng- 15 m2",15 m²,"Ngõ 66/18/20C, Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","Ngõ 66/18/20C Hồ Tùng Mậu có phòng cho thuê trọ; phòng có giá thuê từ 1tr5-2tr5 rộng 15-18m2; 
có giường ngủ; kệ bếp; vệ sinh; wifi tốc độ cao; camera an ninh tốt
điện 4k 1 số; nước 100k 1 tháng; mạng 80k 1 phòng
nhà trọ ở gần ĐH Thương Mại; ĐH Quốc Gia; CĐ Múa..."
335,Tin môi giới đăng hôm qua,3 triệu/tháng- 35 m2,35 m²,"số 10 ngõ 11, Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội","Cho thuê phòng tại ngõ 11 Tô ngọc Vân
Vệ sinh khép kín
Bếp riêng
không chung chủ
để xe free tầng 1
Điện 3,5k/số
Nước 80k/người
Vệ sinh 50k/người
Wifi 100k

Có thể chuyển vào ngay"
330,Tin môi giới đăng hôm qua,"3,5 triệu/tháng- 30 m2",30 m²,"27d ngõ 324, Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","phòng trọ cho thuê tại 324 Thụy khuê
vệ sinh khép kín
bếp riêng
ban công rộng
ko chung chủ
giờ giấc thoải mái
điện 3,5k/số
nước 80k/người
wifi 100k
vệ sinh 50k/người"
336,Tin cá nhân đăng hôm qua,"1,5 triệu/tháng- 20 m2",20 m²,"21, Khu đô thị Văn Khê, Phường La Khê, Quận Hà Đông, Hà Nội","Tiền Phòng 2tr2 
- Điện Nước công tơ riêng 
- Điện 3k5/số - Nước 60k/ Người
- Phòng có điều hòa 
- Có tủ quần áo
- Tủ giày dép
- Giường
- Có ban công phơi đồ
- Khu dân cư yên tĩnh
- Quán cơm nước cách 100m
- Vệ Sinh riêng của phòng
- Ra vào có chìa khóa riêng
Cọc 1 tháng tiền nhà"
339,Tin môi giới đăng hôm qua,"5,5 triệu/tháng- 40 m2",40 m²,"Ngõ 219 Ngách 16 hẻm 10 số 2, Đường Nguyễn Ngọc Vũ, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","🏁 Địa chỉ: Ngõ 219 Ngách 16 hẻm 10 số 2 #Nguyễn_Ngọc_Vũ - #Trung_Hòa - #Cầu_Giấy.
☘ Ngõ ngay gần Ngã tư cầu vượt #Nguyễn_Chí_Thanh
💎 Thiết kế: Phòng rộng khép kín 1 ngủ 1 khách diện tích 40m2.
☘ Nội thất: Điều hòa, nóng lạnh, quạt trần, giường, kệ bếp - chậu rửa, ban công, thang máy, cửa vân tay. 
⚡️ Điện 3,8k/số; nước 30k/khối ; net 90k; vệ sinh 30k/người, thang máy 40k/người, gửi xe free.
⏰ Giờ giấc tự do, thoải mái, không chung chủ."
332,Tin cá nhân đăng hôm qua,"1,5 triệu/tháng- 30 m2",30 m²,"18, Đường Giáp Nhị, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội","Nhà mình hiên đang còn  một  phòng  tầng 3 cho thuê.Phòng đẹp ,thoáng ,yên tĩnh ,đầy đủ nóng lạnh ,điện ,nước giá nhà nước ."
333,Tin môi giới đăng hôm qua,"1,4 triệu/tháng- 15 m2",15 m²,"Ngõ 15/108E, Đường Tân Mỹ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","cho thuê phòng trọ ở địa chỉ Ngõ 15/108E Tân Mỹ, phường Mỹ Đình 2, quận Nam Từ Liêm; Hà Nội 
Nhà xây 4 tầng; có phòng trọ rộng 15-20m2;  giá từ 1tr4-2tr1 1 tháng
phù hợp sinh viên hoặc người đi làm thuê dài hạn
Nhà trọ ở gần CĐ FPT; CĐ Công Nghệ Bách Khoa; gần BV Thể Thao và ở ngay sau sân vận động Mỹ Đình.
liên hệ xem phòng ban ngày"
337,Tin môi giới đăng hôm qua,"1,3 triệu/tháng- 15 m2",15 m²,"ngõ 297/41/16E, Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội","ngõ 297/41/16E Trần Cung còn nhiều phòng trống cần cho thuê
phòng nhỏ giá chỉ 1tr3-1tr5 rộng 10m2; ở tối đa 2 người; ưu tiên ở 1 người
Phòng to: 2tr5-2tr7 rộng 22-24m2 ở thoải mái 2- 3 sinh viên
nhà có đầy đủ wifi tốc độ cao; camera an ninh; gần đường Hoàng Quốc Việt, Phạm Văn Đồng. cách ĐH Điện Lực, CĐ Du Lịch; CĐ Công Thương 1km
liên hệ xem phòng ban ngày"
338,Tin môi giới đăng hôm qua,"1,5 triệu/tháng- 15 m2",15 m²,"Yên Hoà, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","Phòng trọ kk ngõ 105/65 phố Yên Hoà giá rẻ 1tr5-1tr8, phòng đủ đồ 2tr5-3tr
Diện tích 15m-20m
Căn nhà có 5 tầng, xe để dưới tầng một, phòng kk có cửa sổ rộng thoáng mát, nấu ăn trong phòng, phòng có phản, giường, tủ quần áo, đh, bình nóng lạnh, kệ bếp nấu ăn, chậu rửa bát, tuỳ theo phòng nhé, phòng nhỏ chưa có đồ đạc, các bạn tự túc , nhà gần chợ dân sinh, siêu thị lớn, điểm xe buýt, gần trường học, an ninh đảm bảo, điện nước giá rẻ, internet tốc độ cao, phòng to ở được 3 người thoải mái, đi làm, đi học, hộ gia đình đều ở được 
Xem nhà gọi điện thoại trước nhe"
342,Tin cá nhân đăng hôm qua,2 triệu/tháng- 12 m2,12 m²,"3 ngõ 7, Đường Hồ Giám, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội","mình cho thuê tầng 3 để ở, tầng 4 để đồ , tầng5 nấu ăn. có bếp núc, bình nóng"
346,Tin môi giới đăng hôm qua,"3,5 triệu/tháng- 15 m2",15 m²,"39, Đường Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội","- Phòng sạch đẹp, khách hàng lịch sự, văn minh, yên tĩnh. Điện nước đầy đủ. 
- Phòng có kệ bếp nấu ăn, wifi, tivi, điều hoà, nóng lạnh, máy giặt...
- Vị trí gần công viên, an toàn văn minh, gần chợ, trường học, phố lớn.."
343,Tin cá nhân đăng hôm qua,"3,5 triệu/tháng- 38 m2",38 m²,"ngõ 16, Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội","Nhà m còn 1 phòng duy  này nhé. Ở tầng 4 . Khoảng 38m2 thoải mái dc nhóm 4-5 người hay hộ gia đình. Có sẵn giường 1m6, tủ quần áo, điều hòa 2 chiều , nóng lạnh máy giặt chung.Nhà m xây chủ ý để làm khách sạn nên hệ thống cửa thiét bị wc hịn mịn thoáng mát. Cách chợ nhật tân khoảng 300m. Đúng chân cầu nhật tân. Lên tầng 5 là khu phơi phóng ngắm view cầu về đêm lãng mạn như hàn xẻng ý. Tầng 1 để xe rộng rãi có khóa 2 lớp an toàn. Xe oto thì cac e nhà m toàn đậu cửa xuyên đêm, ai cẩn thận hơn thì đi gửi cạnh đó 700k/ tháng. Nhà m ko kinh doanh điện nuoc nên mng tự chia nhau theo hóa đơn nhà nước báo về mỗi phòng có 1 công tơ riêng.Dưới nhà là buyt 31.58. Điện nước giá dân. Có thể nấu ăn tại phòng hay rộng rãi trên tầng 5 . Giá chỉ 3tr5/ tháng.. À quên nhà m ở 16 an dương vương , gần âu cơ, bên kia là cuối lạc long quân thì nhà m bên này là an duong vương nhé ạ. Ai có nhu cầu thì ib ,cmt hay alo m ,,muốn xem phòng thì ới m truoc m về nhé chứ m ở xa ko ở cùng đó dc

- Ngay cầu Nhật Tân tỏa đi các ngả Âu Cơ xuống phố cổ 5km, Lạc Long Quân, ra Hồ Tây 1km, Võ Chí Công, đại học Nội Vụ 2km, sang Thụy Phương, cách Mỏ - Học Viện Tài Chính 6km."
344,Tin cá nhân đăng hôm qua,"3,8 triệu/tháng- 28 m2",28 m²,"56/79, Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","Nhà m 10/4 có phòng 3tr8-4trd/ tháng .ngõ 59 khuc thừa dụ hoặc đi vào từ 56 phố dịch vọng. Gàn buyt công viên cầu giấy flc 300m. Khép kín sẵn đồ cơ bản r ạ. Ở tầng 5 phòng 4trieu. Ở tầng 8 là phòng 3tr8(wc và nấu nuóng ở ngoài cạnh phòng ko chung đụng ai ko mùi mẽ siêu thích ý , lại gần sân phơi tha hồ hóng gió ngắm hà lội vìa đêm). Cửa sổ thông thoáng.  Dưới nhà là chợ gi gì cũng có bán phố xá tấp bập. Phơi đồ máy giặt chung ở  tầng thượng là tầng 8 để xe t1 .có thang máy. Ai có nhu cầu lh xem giữ phòng ạ"
345,Tin cá nhân đăng hôm qua,"3,6 triệu/tháng- 25 m2",25 m²,"số 4, Ngõ 195 ngách 20 số 4  đường Trần Cung  phường Cổ Nhuế 1  quận Bắc Từ Liêm, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội","🏁 Địa chỉ: Ngõ 195 ngách 20 số 4 #Trần_Cung - #Cổ_Nhuế_1 - #Bắc_Từ_Liêm -#HN
☘ Cách Bệnh viện E 500m.
💎 Thiết kế: Phòng đơn khép kín rộng 20 - 25m2, có cửa sổ rộng.
☘ Nội thất: Điều hòa, nóng lạnh, giường, tủ, kệ bếp – bồn rửa, tủ bếp.
⚡️ Dịch vụ: Điện 3,8k; nước 25k/khối ; net 100k/phòng; vệ sinh 25k/người.
☘ Giờ giấc tự do, thoải mái
💸 Giá 3tr4 – 3tr6"
341,Tin cá nhân đăng hôm qua,"1,5 triệu/tháng- 110 m2",110 m²,"Đường Lưu Hữu Phước, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội","Cho thuê phòng - cần người ở ghép.
Mình thuê căn chung cư rộng 110m2 . Gồm 3 phòng ngủ, gia đình m ở 1 phòng.  hiện nay còn trống 2 phòng 30m và 20m. Mình muốn cho hộ gia đình, người đi làm là nữ hoặc các bạn sv nữ ở.
Phòng 30m : giá 2,8tr
Phòng 20m: 1,5tr
An ninh tốt, dân trí cao, Internet, truyền hình cáp, điện nước giá nhà nước....
Địa chỉ: tòa chung cư  tại khu đô thị mỹ đình 1 
liên hệ: 0.9.8.5.0.7.9.2.1.2

PS: Đăng tin, môi giới vui lòng không gọi điện"
348,Tin môi giới đăng hôm qua,"3,2 triệu/tháng- 35 m2",35 m²,"Đường Nguyễn Khuyến, Phường Văn Quán, Quận Hà Đông, Hà Nội","💥 VĂN QUÁN - PHÒNG 35m2 KHÉP KÍN, FULL ĐỒ, SÀN GỖ GIÁ 3.2TR/THÁNG
👉 Cho thuê phòng vệ sinh khép kín
Phòng rộng 35m2, đủ nóng lạnh, điều hoà, giường tủ, bàn bếp, sàn gỗ, view đẹp
Nằm trên đường Nguyễn Khuyến cách hồ Văn Quán 200m
👉 Giá: 3.2tr
Chính chủ cho thuê"
347,Tin cá nhân đăng hôm qua,"1,7 triệu/tháng- 20 m2",20 m²,"40, ngõ 173, Đường Phương Canh, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội","Cho thuê phòng trọ, thông tin như sau:
- 1 Phòng nằm trên tầng 3 trong nhà 3 tầng như hình
- Phòng rộng rãi, thoáng mát
- Có máy giặt, tủ lạnh dùng chung
- Có sân vườn trồng rau, đi lại thoải mái, không chung chủ
- vị trí gần cao đẳng FPT
- Phòng nằm trong ngõ 173, trên đường phương canh, nam từ liêm hà nội
- Điện 3.500/số, nước 50k/người
Liên hệ: ms Mai"
349,Tin môi giới đăng hôm qua,"1,4 triệu/tháng- 15 m2",15 m²,"Đường Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","Phòng trọ kk ngõ 35/42/5b Lê Đức Thọ giá rẻ 1tr4-1tr8, phòng đủ đồ 2tr5
Diện tích 15m-18m
Căn nhà có 4 tầng, tầng một để xe, phòng kk có cửa sổ rộng gió mát rượi, nấu ăn trong phòng, phòng có phản, giường, tủ quần áo, đh, bình nóng lạnh, kệ bếp nấu ăn, tuỳ theo phòng, phòng nhỏ chưa có đồ đạc, các bạn tự túc, nhà gần chợ, siêu thị, điểm xe buýt, bến xe Mỹ Đình, DH Quốc Gia, an ninh đảm bảo, điện nước giá rẻ, internet tốc độ cao, phòng to ở được 3 người thoải mái, đi làm, đi học, đều ở được
Xem nhà gọi điện thoại trước nhe"
340,Tin môi giới đăng hôm qua,"1,4 triệu/tháng- 14 m2",14 m²,"Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","Phòng trọ kk ngõ 165/54/6 đường Xuân Thuỷ giá rẻ 1tr4-1tr8, phòng đủ đồ 2tr5
Diện tích 14m-10m
Căn nhà có 6 tầng, xe để dưới tầng một, phòng kk có cửa sổ rộng gió mát rượi, nấu ăn trong phòng, phòng có phản, giường, tủ quần áo, đh, bình nóng lạnh, kệ bếp nấu ăn, tuỳ theo phòng, phòng nhỏ chưa có đồ đạc, các bạn tự túc, nhà gần chợ dân sinh sống, chợ Xanh, Dh Quốc Gia, siêu thị Pico, bến xe Mỹ Đình, an ninh đảm bảo, điện nước giá rẻ, internet tốc độ cao, phòng to ở được 2-3 người, đi làm, đi học, hộ gia đình nhỏ đều ở được 
Xem nhà gọi điện thoại trước nhe"
350,Tin cá nhân đăng 13 giờ trước,5 triệu/tháng GIÁ TỐT- 35 m2,35 m²,"số nhà 12, ngõ 89, Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội","Chính chủ cho thuê phòng kiểu CCMN 1N1K tại số 12, ngõ 89 đường Mễ Trì Thượng, Mễ Trì, Nam Từ Liêm, Hà Nội (cuối ngõ 4 Đồng Me đi vào khoảng 30m) trong tòa nhà 6 tầng thang máy, diện tích 35m2, 1 ngủ 1 khách, bếp ngăn riêng biệt với phòng không lo ám mùi vào phòng.
  - Vị trí: cách mầm non Mễ Trì Hạ 50m, cách cấp 1&2 Mễ trì 50m, cách chợ Mễ Trì Hạ 100m, cách đường Mễ Trì 100m, cách The Garden 200m, cách Keangnam 500m...
  - Nhà đã có đủ đồ như : điều hòa, nóng lạnh, tủ lạnh, máy giặt, giường, tủ, táp, bàn phấn, rèm, bàn ghế, tủ bếp, bếp từ, wifi tốc độ cao...để xe miễn phí.
  - Diện tích: 35m2
  - Giá: 5tr/tháng
  - LHCC : 
(Nhà mới 100% vào ở được ngay, khách chỉ việc xách đồ tới ở)"
353,Tin cá nhân đăng 7 giờ trước,"3,4 triệu/tháng- 30 m2",30 m²,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội","Nhà mình còn   1 phòng tầng 3 trong nhà 5 tầng.
Có thể đến ở ngay
Diện tích 28m2
Phòng có cửa sổ rộng thoáng, ban công, không bị che chắn rất thoáng.
Sàn gỗ, đầy đủ giường tủ bàn ghế điều hòa nóng lạnh ...
Vệ sinh khép kín đủ trang thiết bị vệ sinh.
Nhà cực kì sạch sẽ, có chỗ nấu ăn, sân phơi, để xe free
Có dọn vệ sinh, máy giặt ...
Nhà ở trong ngõ an ninh, sạch sẽ, không ngập nước...
Vị trí cực gần các trường ngoại thương, giao thông vt,..
Tiền điện 3k5/1 số, nước 100k 1 người, wifi 65k,...
Địa chỉ : Ngách 90/1194 Đường Láng, Hoặc có thể đi từ ngõ 138 chùa láng vào.
Còn không mau xách mông lên chuyển đến phòng nhà mình. 
Liên hệ ngay đến ban Ken đẹp trai để đến ở ngay."
357,Tin môi giới đăng 3 ngày trước,"3,3 triệu/tháng- 30 m2",30 m²,"225, Đường Yên Xá, Xã Tân Triều, Huyện Thanh Trì, Hà Nội","- Phòng mới tinh, rộng rãi, ban công thoáng mát. Decor siêu đẹp. 100% ảnh thật.

- Ví trí thuận lợi, ô tô đỗ cửa, gần chợ, gần đường lớn thuận tiện đi lại. Gần viện K- Tân Triều.

- Nội thất có sẵn: giường, tủ quần áo, nóng lạnh, điều hòa, tranh, gương, đôn giường.

- Điện 3k8, nước 28k, mạng 100k/ phòng, vệ sinh 30k

- Xem phòng thoải mái, nhiệt tình, hòa đồng."
355,Tin môi giới đăng 3 ngày trước,"1,7 triệu/tháng- 16 m2",16 m²,"ngõ 251/15/2A, Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội","Cho thuê phòng trọ ở quận Ba Đình, Hiện đang có Phòng trọ ngõ 251 Kim Mã giá từ 1.7Tr-2.5tr gần đường Đội Cấn; Giang Văn Minh.
phòng rộng 15-20m2; có giường; phòng to có NL, ĐH, giường; tủ;
nhà khu trung tâm; đi lại thuận tiện. cách bến xe bus. nhà riêng chủ tự do giờ gian."
358,Tin môi giới đăng 3 ngày trước,"1,6 triệu/tháng- 15 m2",15 m²,"ngõ 250/55/8A, Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","ngõ 250/55/8A Minh Khai có phòng trọ giá 1.6tr -2.5T vệ sinh khép kín có giường ngủ và cửa sổ thoáng; rộng tầm 15-20m2; phòng có thể ở tối đa 2 sinh viên. điện nước cáp nét đầy đủ; an ninh đảm bảo; phòng to có điều hòa và nóng lạnh.
nhà thuê ở ngay gần đường lớn; tiện đi lại; cách ĐH Bách Khoa; Kinh TẾ, Xây Dựng khoảng 2km; cách ĐH Kinh Doanh Công Nghệ 2,2km;"
359,Tin cá nhân đăng 3 ngày trước,3 triệu/tháng- 40 m2,40 m²,"Đường Nguyễn Văn Giáp, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",mình  còn  phòng gia đình  40 m Đây đủ  tiện nghi đi  lại.thuận tiện  có chìa khóa cổng riêng  nước sạch nét cáp quang có camera an ninh tốt  có chỗ để xe
356,Tin cá nhân đăng 3 ngày trước,"2,2 triệu/tháng- 15 m2",15 m²,"Đường Khương Trung, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Mình còn 1 phòng trọ tại ngõ 250 Khương Trung, gần chợ, gần cầu Khương Đình, ngã tư sở, không chung chủ, giờ giấc thoải mái, điện nước giá dân. 
Phòng tầng 2, đầy đủ điều hòa, nóng lạnh, để xe tầng 1 free, sân thượng phơi đồ rộng rãi. 
Giá phòng 2tr2, đóng 3 tháng/ lần
Hết tháng 3 có thể chuyển vào"
354,Tin môi giới đăng 3 ngày trước,"4,5 triệu/tháng- 30 m2",30 m²,"20 ngõ 196, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","1-Tòa nhà 7 tầng số 20 ngõ 196 phố cầu giấy, mới hoàn thiện xong
- *. Vị trí tiện ích:
Tòa nhà nằm gần mặt đường Nguyễn văn Huyên kéo dài, cách đường Cầu giấy 30m,được thiết kế thông minh, tiện lợi, đầy đủ tiện ích đi kèm, gồm tầng 1 với DT: 250m2 để xe rộng rãi. Giao thông đi lại thuận tiện và 6 tầng trên là các căn hộ chung cư mini cho thuê.
- Chỉ 3 phút để tiếp cận hệ thống ngân hàng, siêu thị, trung tâm thương mại, trường học quốc tế từ mầm non đến trung học, đại học quanh khu vực cầu giấy...
*. Thiết kế 03 loại diện tích: 27m2, 35m2, 42m2 với phong cách hiện đại, tiện dụng.
- 1 phòng ngủ riêng biệt: Điều hòa 02 chiều, giường, tủ quần áo, sàn gỗ...
- 1 Phòng khách được thiết kế đẹp có thể làm phòng ngủ nếu nhà đông người.
- Khu bếp riêng biệt, có tủ bếp trên và dưới, chậu rửa bát hiện đại nấu nướng không sợ mùi vào phòng ngủ và khách.
- WC khép kín hiện đại, bình nóng lạnh, thiết bị vệ sinh Inax.
- Tòa nhà được lắp camera an ninh, đảm bảo, bảo vệ 24/24h.
- Gửi xe miễn phí, tối đa mỗi phòng 2 xe máy, truyền hình cáp, internet cáp quang, camera các tầng, có thang máy tốc độ cao...
- Căn hộ có cửa sổ thoáng mát, chỉ việc xách va li đến ở.
*. Giá cả:
- Giá phòng từ :4.500.000 -5.000.000 đ - 5.500.000 đ /tháng.
- Điện tính theo giá hộ gia đình, 3000 đ/ kw.
- Rất Phù hợp với người đi làm, hộ gia đình trẻ, công tác, du lịch, học tập,...
Hãy tiết kiệm thời gian quý báu của chính các bạn bằng cách nhấc máy lên và gọi ngay tôi.
Địa chỉ: Số 20 ngõ 196 đường Cầu giấy"
