stt,thoigian,giaphong,dientich,diachi
901,03/2021,3400000,30,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
907,03/2021,2200000,18,"25D/2 ngõ 189, Đường Hoàng Hoa Thám, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội"
908,03/2021,2000000,35,"đường tây sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội"
900,03/2021,2200000,16,"Đường Phan Trọng Tuệ, Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội"
904,03/2021,2000000,14,"186 nguyễn đình hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
911,03/2021,1500000,13,"70 ngõ 130, Đường An Dương, Phường Yên Phụ, Quận Tây Hồ, Hà Nội"
918,03/2021,2800000,25,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội"
915,03/2021,1500000,17,"Ngõ 72c/99 SN 184 định cộng 1t, Đường Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội"
912,03/2021,1500000,16,"18D/2 ngõ 10, Đường Tân Mỹ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
916,03/2021,1500000,15,"Đường Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
919,03/2021,3500000,20,"Đường Trần Xuân Soạn, Phường Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà Nội"
910,03/2021,1700000,18,"Đường Đỗ Nhuận, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội"
913,03/2021,1800000,623,"Đường Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội"
917,03/2021,4000000,25,"40d, Đường Hòa Mã, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội"
914,03/2021,2500000,28,"17/34, Đường Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội"
927,03/2021,4000000,35,"277 ngõ 275, Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
929,03/2020,1390000,40,"Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
924,03/2021,2600000,30,"Đường Yên Xá, Xã Tân Triều, Huyện Thanh Trì, Hà Nội"
923,03/2021,2000000,20,"20, Đường Thành Công Bắc, Phường Thành Công, Quận Ba Đình, Hà Nội"
922,03/2021,5500000,30,"255, Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
925,01/2021,1000000,30,"số 103 ngõ 101, Đường Đại La, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội"
926,03/2021,2000000,30,"Đường Kim Mã Thượng, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
928,03/2021,1500000,110,"Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
920,03/2021,1800000,16,"Đường Nguyễn Hoàng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội"
921,03/2021,4000000,25,"49, Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội"
932,03/2021,2800000,18,"Đường Chiến Thắng, Phường Văn Quán, Quận Hà Đông, Hà Nội"
933,03/2021,2500000,25,"31, Đường Xuân Phương, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội"
934,03/2021,3000000,22,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội"
938,03/2021,2000000,16,"Đường Triều Khúc, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội"
931,03/2021,3500000,50,"54, Đường Đê La Thành, Phường Phương Liên, Quận Đống Đa, Hà Nội"
935,03/2021,3000000,35,"Đường Cù Chính Lan, Phường Khương Trung, Quận Thanh Xuân, Hà Nội"
937,03/2021,2300000,20,"Đường Bạch Thái Bưởi, Phường Phúc La, Quận Hà Đông, Hà Nội"
930,03/2021,1800000,17,"Đường Phú Đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội"
939,03/2021,1700000,15,"SN 31d/28 trương định đại la n, Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội"
936,03/2021,2900000,20,"30 ngõ 56, Đường Văn La, Phường Phú La, Quận Hà Đông, Hà Nội"
945,03/2021,3000000,21,"Đường Thanh Bình, Phường Mộ Lao, Quận Hà Đông, Hà Nội"
942,03/2021,1200000,20,"xóm 5, Thôn Vĩnh Thanh, Xã Vĩnh Ngọc, Huyện Đông Anh, Hà Nội"
943,03/2021,2100000,18,"Ngõ 20d/4 lê thanh nghị bạch m, lê thanh nghị bạch mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội"
948,03/2021,5000000,45,"9/18, Đường Nguyễn Đình Chiểu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội"
947,03/2021,3000000,36,"9c ngõ 21, Đường Trần Quý Kiên, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
941,03/2021,1900000,16,"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội"
940,03/2021,2500000,25,"61, Đường Lạc Trung, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội"
949,03/2021,2900000,30,"Đường Nguyễn Xiển, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội"
946,03/2021,1400000,16,"19, Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
944,03/2021,1800000,16,"SN 54b/100 ngõ 9b hoà bình 5 m, minh khai hoà bình 5, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội"
953,01/2021,1000000,30,"số 103 ngõ 101, Đường Đại La, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội"
956,03/2021,2300000,25,"31, Ngõ 292 Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội"
952,03/2021,3400000,30,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
950,03/2021,2600000,15,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"
954,03/2021,1500000,110,"Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
957,03/2021,2500000,25,"14, Đường Mễ Trì Hạ, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
958,03/2021,2500000,25,"2, Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội"
955,03/2021,2800000,18,"ngõ 250 Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội"
951,03/2021,2100000,16,"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"
960,03/2021,2000000,25,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội"
964,03/2021,3300000,25,"Số 29A Ngách 1, 112 Ngọc Khánh, Phường Giảng Võ, Quận Ba Đình, Hà Nội"
963,03/2021,3500000,30,"số nhà 11, Xuân Đỉnh, Phường Kim Giang, Quận Thanh Xuân, Hà Nội"
962,03/2021,1800000,15,"143 ngõ 218, Phố Chợ Khám Thiên, Phường Trung Phụng, Quận Đống Đa, Hà Nội"
969,03/2021,3100000,20,"Đường Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội"
961,03/2021,3400000,26,"tố hữu, Phường Mộ Lao, Quận Hà Đông, Hà Nội"
967,03/2021,2000000,20,"Đường An Dương, Phường Yên Phụ, Quận Tây Hồ, Hà Nội"
965,03/2021,3200000,20,"66, Nguyễn Hoàng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
968,03/2021,1600000,21,"139, Đường Tam Trinh, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội"
979,03/2021,3600000,30,"56, Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
977,03/2021,4500000,30,"20 ngõ 196, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
978,03/2021,2600000,15,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"
974,03/2021,2500000,25,"252, Đường Tây Sơn, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
975,03/2021,5000000,35,"số nhà 12, ngõ 89, Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
972,03/2021,3000000,20,"Đường Thanh Hà, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội"
976,03/2021,1500000,110,"Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
973,03/2021,2000000,20,"Số 1/ Ngõ 1333 Đường Giải Phóng, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"
970,03/2021,2400000,25,"Đường Hoàng Mai||973, Phường Tân Mai, Quận Hoàng Mai, Hà Nội"
980,03/2021,1500000,15,"1, Đường Nhân Hòa, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội"
983,03/2021,3600000,30,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội"
982,03/2021,1200000,15,"60 ngo 68, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
981,03/2021,3000000,30,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội"
987,03/2021,1900000,19,"117, 477 Đường Nguyễn Trãi Thanh Xuân Hà Nội, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội"
989,03/2021,5000000,30,"Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội"
988,03/2021,5000000,25,"Đường Lạc Long Quân, Phường Phú Thượng, Quận Tây Hồ, Hà Nội"
985,03/2021,2500000,18,"50, phố chùa quỳnh, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội"
986,03/2021,3600000,30,"Đường Nguyễn Trãi, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội"
984,03/2021,3000000,25,"04, Đường Nguyễn Khuyến, Phường Văn Quán, Quận Hà Đông, Hà Nội"
993,03/2021,3500000,40,"Đường Kim Ngưu, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội"
990,03/2021,1800000,15,"22C ngõ 113, yên hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội"
992,03/2021,3000000,40,"387, Đường Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội"
991,03/2021,2500000,20,"8B/2 ngõ 2, Đường Phạm Văn Đồng, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"
996,03/2021,3300000,27,"19, Đường Ao Sen, Phường Mộ Lao, Quận Hà Đông, Hà Nội"
999,03/2021,2000000,17,"SN 142a/6 trường chinh ngõ 9 1, Đường Trường Chinh, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
994,03/2021,1800000,15,"Đường Láng Hạ, Phường Thành Công, Quận Ba Đình, Hà Nội"
995,03/2021,2000000,15,"ngõ 230 lạc Trung Hai bà Trưng, Đường Lạc Trung, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội"
998,03/2021,2700000,18,"số 18 ngõ 10, Đường Đội Cấn||240, Phường Cống Vị, Quận Ba Đình, Hà Nội"
997,03/2021,2700000,18,"số 18 ngõ 10, Đường Kim Mã Thượng, Phường Cống Vị, Quận Ba Đình, Hà Nội"
1000,02/2021,3800000,28,"71A/71, Đường Nguyễn Thị Định, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội"
1005,03/2021,3500000,23,"số nha 11ngo 402/90, Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
1004,03/2020,1390000,40,"Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
1001,03/2021,2100000,16,"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"
1002,03/2021,3600000,30,"56, Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
1008,03/2021,3500000,35,"thanh nhàn, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội"
1006,03/2021,2800000,24,"số 42 ngõ 32, Đường Đỗ Đức Dục, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
1007,03/2021,1000000,14,"Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội"
1009,03/2021,2600000,24,"Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội"
1003,03/2021,3400000,30,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
1010,03/2021,2500000,30,"Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội"
1014,03/2021,2500000,30,"số 36 ngõ 200 Âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Hà Nội"
1012,03/2021,4500000,25,"Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
1011,03/2021,750000,25,"yên hoà, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội"
1018,03/2021,1700000,22,"Đường Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội"
1016,03/2021,3000000,28,"24 ngõ 231, Đường Chùa Bộc, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
1017,03/2021,1000000,22,"50, Ngõ Thăng Long, Xã Phú Minh, Huyện Sóc Sơn, Hà Nội"
1013,03/2021,3600000,28,"Đường Thịnh Quang, Phường Thịnh Quang, Quận Đống Đa, Hà Nội"
1015,03/2021,3000000,20,"Đường Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội"
1019,03/2021,1400000,15,"95/188, đường chùa bộc, Phường Khương Thượng, Quận Đống Đa, Hà Nội"
1020,03/2021,1250000,14,"40/127c, Đường Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội"
1027,03/2021,2200000,16,"Đường Phan Trọng Tuệ, Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội"
1024,03/2021,3600000,35,"Đường Đại La, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội"
1023,03/2021,2800000,16,"Số 5, ngõ 199/18, Đường Hồ Tùng Mậu, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội"
1025,03/2021,2000000,14,"186 nguyễn đình hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
1028,02/2021,3800000,28,"71A/71, Đường Nguyễn Thị Định, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội"
1026,03/2021,2100000,16,"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"
1021,03/2021,2000000,15,"nhà số 7 hẻm 250/100/4, Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội"
1022,03/2021,1400000,20,"Đường Nguyễn Khuyến, Phường Văn Quán, Quận Hà Đông, Hà Nội"
1029,03/2021,1500000,110,"Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
1030,03/2021,1820000,20,"Đường Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội"
1032,03/2021,1300000,16,"SN 18c/182 đình làng hậu trần, đình làng hậu trần thái tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội"
1033,03/2021,1400000,14,"Ngõ 92d/100 tạ quang bửu SN 37, Đường Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội"
1039,03/2021,1400000,16,"Ngõ 39a/100 doãn kế thiện SN 1, Đường Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"
1035,03/2021,2500000,17,"Khu đô thị Đền Lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội"
1037,03/2021,2500000,24,"Đường 19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội"
1034,03/2021,2500000,25,"Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội"
1038,03/2021,3800000,25,"số 11a ngách 43/66 ngõ 110, Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội"
1031,03/2021,1000000,12,"Số 1 ngõ 5/16, Đường Tân Triều, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội"
1036,03/2021,1550000,16,"Hoà bình 2 minh khai SN 183d 1, hoà bình 2 minh khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội"
1046,03/2021,2400000,18,"8, Đường Nguyên Trãi, Phường Văn Quán, Quận Hà Đông, Hà Nội"
1047,03/2021,1400000,20,"18, Ngô Gia Tự 638/61/1, Phường Đức Giang, Quận Long Biên, Hà Nội"
1040,03/2021,1800000,40,"8, Đường Giải Phóng, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội"
1049,03/2021,4500000,40,"60, Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
1045,03/2021,3300000,25,"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội"
1043,03/2021,3900000,45,"Số 8, Ngõ 57/80 Mễ Trì Hạ, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"
1042,03/2021,2800000,23,"24 ngõ 87/59, Đường Yên Xá||1930, Phường Văn Quán, Quận Hà Đông, Hà Nội"
1041,03/2021,2600000,30,"Đường Tân Triều, Xã Tân Triều, Huyện Thanh Trì, Hà Nội"
1048,03/2021,3500000,50,"Ngõ 6 Bà Triệu, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội"
1044,03/2021,2500000,30,"Đường Bà Triệu, Phường Hà Cầu, Quận Hà Đông, Hà Nội"
1050,03/2021,4500000,30,"20 ngõ 196, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
1051,03/2020,1390000,40,"Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
1055,03/2021,2000000,14.5,"Thuỵ Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội"
1057,03/2021,1800000,18,"Giải Phóng, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"
1056,03/2021,1800000,14,"1 ngõ 83, Đường Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà Nội"
1059,03/2021,2000000,20,"SN 92c/100 xã đàn ngõ 1a 1tr8, Đường Xã Đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội"
1058,03/2021,1500000,16,"Ngõ 71 mỹ đình 2 SN 193e 1tr5, mỹ đình 2, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội"
1052,03/2021,2600000,15,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"
1054,12/2020,4700000,35,"Đường La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội"
1053,01/2021,1000000,30,"số 103 ngõ 101, Đường Đại La, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội"
1065,03/2021,1800000,25,"Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"
1063,03/2021,1900000,20,"16 ngo 319, Đường Tam Trinh, Phường Mai Động, Quận Hoàng Mai, Hà Nội"
1060,03/2021,1800000,25,"Đường Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, Hà Nội"
1069,03/2021,1300000,423,"Đường Bùi Xương Trạch, Phường Khương Trung, Quận Thanh Xuân, Hà Nội"
1066,03/2021,2200000,16,"105b ngõ 169, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội"
1062,03/2021,3200000,17,"38, Đường Thịnh Yên, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội"
1068,03/2021,3000000,25,"Đường Võng Thị, Quận Tây Hồ, Hà Nội"
1061,03/2021,1500000,20,"Đường Thúy Lĩnh, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội"
1076,03/2021,3400000,30,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
1075,03/2021,2000000,30,"Đường Kim Mã Thượng, Phường Liễu Giai, Quận Ba Đình, Hà Nội"
1071,03/2021,1200000,12,"Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội"
1078,03/2021,4000000,35,"277 ngõ 275, Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
1079,03/2021,2100000,16,"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"
1077,03/2021,4500000,30,"20 ngõ 196, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
1074,03/2021,2000000,16,"Ngõ 15d5 tập thể phương mai SN, Đường Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội"
1072,03/2021,2000000,30,"1, Đường Đại Linh, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
1073,03/2021,2000000,20,"Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
1070,03/2021,1510000,15,"Đường Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà Nội"
1082,03/2021,2500000,18,"26, Ngõ 218 Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội"
1085,03/2021,4500000,54,"0858401195, Đường Khâm Thiên, Phường Trung Phụng, Quận Đống Đa, Hà Nội"
1088,03/2021,2200000,15,"11/276, Đường Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội"
1083,03/2021,1450000,16,"133/98, Đường Xuân Thủy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
1089,03/2021,2300000,20,"6/83/24, Đường Kim Đồng, Phường Tân Mai, Quận Hoàng Mai, Hà Nội"
1084,03/2021,2900000,25,"1150 Đường Láng, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"
1080,03/2021,3000000,18,"Đường Vân Hồ 3, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội"
1086,03/2021,900000,18,"22, Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội"
1087,03/2021,4000000,26,"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội"
1098,03/2021,2000000,30,"7 ngách 39/65, Đường Đại Đồng, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội"
1097,03/2021,4500000,35,"36 ngõ 108/50 trần phú,mộ lao,hà đông hà nội, Phường Mộ Lao, Quận Hà Đông, Hà Nội"
1094,03/2021,2000000,20,"Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội"
1093,03/2021,120000,70,"118, Đường Thanh Nhàn, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội"
1090,03/2021,2500000,25,"Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội"
1096,03/2021,2500000,25,"lê thanh tông, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội"
1095,03/2021,800000,14,"7, Đường 32, Xã Di Trạch, Huyện Hoài Đức, Hà Nội"
1091,03/2021,2500000,25,"173, Đường Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
1092,03/2021,3100000,35,"19, Số Nhà 19 Ngõ 86 Phú Kiều, Kiều Mai, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội"
1099,03/2021,3000000,25,"Đường Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội"
1101,02/2021,3800000,28,"71A/71, Đường Nguyễn Thị Định, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội"
1104,03/2021,2100000,16,"Ngõ 151, Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"
1100,03/2021,2000000,14,"186 nguyễn đình hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
1103,03/2021,4500000,40,"15A, Ngõ 61đường Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội"
1107,03/2021,8500000,85,"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
1109,03/2021,13000000,58,"20, 31 Vân Đồn, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội"
1106,03/2021,2800000,35,"40, Đường Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội"
1108,03/2021,3800000,40,"quan thổ 3, Đường Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội"
1105,03/2021,2800000,20,"Đường Phú Đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội"
1102,03/2021,2600000,15,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"
1114,03/2021,7000000,45,"87/58, Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội"
1112,03/2021,3500000,30,"Tập thể B3 - Tầng 3 căn góc, Đường Phương Mai, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
1113,03/2021,1500000,25,"206, Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội"
1110,03/2021,3200000,30,"xóm thượng, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội"
1118,03/2021,1200000,15,"106, Đường Lĩnh Nam, Phường Mai Động, Quận Hoàng Mai, Hà Nội"
1116,03/2021,1000000,12,"Đường Lê Trọng Tấn, Phường Định Công, Quận Hoàng Mai, Hà Nội"
1117,03/2021,3000000,30,"250 Kim Giang, Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội"
1115,03/2021,4500000,40,"108, Đường Tân Triều, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội"
1111,03/2021,3800000,35,"599, Đường Phạm Văn Đồng||2648, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội"
1119,03/2021,3500000,25,"24b ngõ kiến thiết, Đường Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội"
1120,03/2021,2200000,30,"Đường Nguyễn Thái Học, Phường Điện Biên, Quận Ba Đình, Hà Nội"
1129,03/2021,4000000,35,"277 ngõ 275, Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
1128,03/2021,2600000,15,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"
1122,03/2021,2100000,20,"80, Đường Ngô Thì Sỹ, Phường Vạn Phúc, Quận Hà Đông, Hà Nội"
1125,12/2020,4700000,35,"Đường La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội"
1127,03/2021,4500000,30,"20 ngõ 196, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
1124,03/2021,4000000,27,"210/23, Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
1121,03/2021,4000000,35,"50, Đường Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội"
1123,03/2021,1800000,18,"9, Ngõ 254, Phường Tân Mai, Quận Hoàng Mai, Hà Nội"
1126,03/2021,3400000,30,"14, Đường Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
1131,03/2021,2000000,27,"số 2 ngách 115 ngõ 252 Tây Sơn, Phố Tây Sơn, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
1133,03/2021,2700000,30,"Đường Mỹ Đình 1, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
1132,03/2021,2000000,20,"Đường Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội"
