stt,thoigian,giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,tiennghi,thuantien,giuongtu,banghe,nonglanh,dieuhoa,tulanh,maygiat,tivi,bep,gacxep,thangmay,bancong,chodexe,diachi,chitiet
135,02/2021,2000000,34.0,21.022228,105.896859,Nhatang,3.5,78.3,Khepkin,1,4,0,0,0,0,0,0,0,0,1,0,0,0,"Số 18, Ngõ 353, đường Bát Khối, phường Long Biên, Quận Long Biên, Hà Nội","khu nhà có  thuận lợi, đường ngõ rộng, trước mặt là vườn cây. nhà có  24m2 san và 10m2gác xép (thoáng mát về mùa hè, ấp áp về mùa đông.rất thuận lợi cho hộ gia đình ở lâu dài : gần trường học (300m) , chợ truyền thống (400m), tttm aeon (200m)....tổng quan nhà được thiết kế phù hợp nhất cho hộ gia đình nhỏ của các bạn.....!"
136,02/2021,3500000,36.0,20.990868,105.818217,Nhatang,2.4,81.63,Khepkin,6,3,1,0,1,1,1,0,0,1,0,0,0,1,"số 12 ngách 9 ngõ 77 bùi xương trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội"," ""khép kín đầy đủ tiện nghi điều hòa bình nóng lạnh  ăn ngủ riêng biệt 2  .rường tủ quần áo tủ lạnh bếp đun nhà vệ sinh khép kín chỗ để xe mạng tốc độ cao miễn phi nhà mới xây gần phố. chợ các trường học tiện cho sinh hoạt an ninh tốt ký hợp đồng lâu dài  36m2 2  giá 3500k lh số 12 ngách 9 ngõ 77 bùi xương trạch thanh xuân hà nội đt 0971161975"""
143,03/2021,2500000,30.0,20.995364,105.84882,Nhatang,2.2,30.0,Khepkin,4,2,1,0,1,1,0,0,0,0,0,0,0,1,"Ngõ 35 Phố Đại La, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","gia đình có 9 căn  rộng, thoải mái địa chỉ tại ngõ 35 (ngõ lao động), đường đại la. cách mặt đường 30m, xe vào tận nơi. phù hợp cho sinh viên, gia đình. ưu tiên ở lâu dàigiá: 45-50m2: giá 4,5 triệu-5 triệu 25-28m2: giá 2,5 - 3 triệu- điều hòa, nóng lạnh. vệ sinh bệt khép kín. điện, nước theo giá nhà nước.- thuận tiện: cách trường kinh tế quốc dân 500m, gần đh bách khoa hà nội, đại học xây dựng, đại học kinh tế kĩ thuật công nghiệp, đh kinh doanh công nghệ.- khu vực an ninh cao, thoáng mát.thanh toán: đặt cọc 1 tháng, thanh toán 2 tháng vào đầu kìsđt liên lạc: anh toàn: 0984 090 222 (zalo, mes hoặc call) – trung gian miễn làm phiền"
143,03/2021,2800000,30.0,20.995364,105.84882,Ccmn,2.2,30.0,Khepkin,8,3,1,1,0,1,1,0,0,0,0,0,1,1,"Ngõ 35 Phố Đại La, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","gia đình có 9 căn  rộng, thoải mái địa chỉ tại ngõ 35 (ngõ lao động), đường đại la. cách mặt đường 30m, xe vào tận nơi. phù hợp cho sinh viên, gia đình. ưu tiên ở lâu dàigiá: 45-50m2: giá 4,5 triệu-5 triệu 25-28m2: giá 2,5 - 3 triệu- nóng, lạnh. vệ sinh bệt khép kín. điện, nước theo giá nhà nước.- thuận tiện: cách trường kinh tế quốc dân 500m, gần đh bách khoa hà nội, đại học xây dựng, đại học kinh tế kĩ thuật công nghiệp, đh kinh doanh công nghệ.- khu vực an ninh cao, thoáng mát.thanh toán: đặt cọc 1 tháng, thanh toán 2 tháng vào đầu kìsđt liên lạc: anh toàn: 0984 090 222 (zalo, mes hoặc call) – trung gian miễn làm phiền"
143,03/2021,2600000,29.0,20.995364,105.84882,Nhacap,2.2,30.0,Khepkin,2,2,1,1,0,0,0,0,0,0,0,0,0,1,"Ngõ 35 Phố Đại La, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","gia đình có 9 căn  rộng, thoải mái địa chỉ tại ngõ 35 (ngõ lao động), đường đại la. cách mặt đường 30m, xe vào tận nơi. phù hợp cho sinh viên, gia đình. ưu tiên ở lâu dàigiá: 45-50m2: giá 4,5 triệu-5 triệu 25-28m2: giá 2,5 - 3 triệu- nóng, lạnh. vệ sinh bệt khép kín. điện, nước theo giá nhà nước.- thuận tiện: cách trường kinh tế quốc dân 500m, gần đh bách khoa hà nội, đại học xây dựng, đại học kinh tế kĩ thuật công nghiệp, đh kinh doanh công nghệ.- khu vực an ninh cao, thoáng mát.thanh toán: đặt cọc 1 tháng, thanh toán 2 tháng vào đầu kìsđt liên lạc: anh toàn: 0984 090 222 (zalo, mes hoặc call) – trung gian miễn làm phiền"
142,03/2021,4000000,35.0,20.998393,105.871403,Nhatang,3.3,109.6,Khepkin,1,2,1,1,0,1,0,0,0,0,1,0,0,1,"31/14/622 Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội","  đẹp ,khép kín , sàn rộng 25,. có gác lửng cao đẹp rộng 10m, sạch sẽ , cao ráo có sân thoáng mát,có chỗ để xe rộng,sát timecity, đường vào rộng, có thể ở được hộ gia đình, hoăc làm kho và văn ,ưu tiên thuê lâu dài."
141,03/2021,3500000,45.0,20.985422,105.813359,Nhatang,2.3,56.0,Khepkin,5,3,0,0,1,1,0,0,0,0,0,1,0,0,"Số 12 ngõ 8 Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội","nhà mới xây nhà 4 tầng. mỗi tầng 45m2 vệ sinh khép kín , có thang máy, đầy đủ điều hòa 2 chiều, nóng lạnh, bình năng lượng mặt trời(tiết kiệm điện khi trời nắng), internet, đèn led siêu sáng.  3.5 triệu đồng/ tháng/tầng. tại số 12 ngõ 8 kim giang, thanh xuân, hà nội, cách mặt đường kim giang 20m, (tiện kinh doanh) cách ngã tư sở 1.5km. liên hệ chính chủ: mr minh: 0904.987.889."
140,03/2021,3000000,30.0,20.970007,105.789739,Nhatang,3.6,2.0,Khepkin,9,3,1,0,1,1,0,1,0,0,0,0,1,1,"48 Đường Bạch Thái Bưởi, Phường Văn Quán, Quận Hà Đông, Hà Nội","cho thuê phòng khép kín tại văn quán-phố bạch thái bưởi ( gần hồ văn quán, trường kiến trúc, an ninh, bệnh viện 103).-  giao thông thuận tiện,xe buýt 39 đi qua cửa nhà.- nhà  có  full nội thất giá 3tr-3.2tr.-  25-30m2,ban công thoáng mát- cạnh điểm xe bus.- full nội thất điều hòa,quạt trần, nóng lạnh, giường, tủ , phơi đồ, để xe miễn phí, camera an ninh, máy giặt- nước 80k/người/tháng- điện 3.5k/số- internet cáp quang tốc độ cao, điện nước công tơ riêng.- miễn phí chỗ để xe máy, có camera yên tâm an ninh.- chính chủ miễn môi giới"
4,03/2021,900000,15.0,21.029456,105.775094,Nhacap,3.5,5.0,KKK,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"số 1 đường mỹ đình, mỹ đình, từ liêm, hà nội","cư xá mỹ đìnhtổng hợp  giá rẻ tại cư xá-  không khép kín 900k tầng 5 rộng 10m2-  khép kín 1tr7 tầng 3 rộng 16m-  khép kín 1tr5 tầng 3 rộng 15m2-  khép kín 1tr3 tầng 4 rộng 13m2-  không khép kín 1tr tầng 3 rộng 10m2* mô tả chung+ camera an ninh các hành lang+ giờ giấc thoải mái+ bảo vệ trực 24/24+ tạp vụ dọn vệ sinh hàng ngày+ đóng tiền tháng 1 cọc 1 thánggiá: 800.000 đ / thángđịa chỉ: số 1 đường mỹ đình( đối diện cổng bốc vác bến xe mĩ đìnhliên hệ anh việt: 0966663256đ/c: số 1 đường mỹ đình, mỹ đình, từ liêm, hà nội"
5,03/2021,4300000,40.0,21.008818,105.781849,Ccmn,5.5,46.0,Khepkin,5,4,1,1,1,1,0,0,0,1,0,1,0,1,"23 ngõ 36 Đường Đỗ Đức Dục, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"," Ccmn 1 khách 1 ngủ mễ trì full đồ 35m2* cạnh chung tâm hội nghị quốc gia, gần chợ dân sinh mễ trì, nhiều trường mầm non, siêu thị mini vin+, vin đỗ đức dục* nội thất: nóng lạnh, điều hòa, giường, tủ quần áo, đệm, sofa, bàn trà, rèm cửa, quạt trần, bàn bếp, chậu rửa, giá bát, thiết bị vệ sinh full*thang máy rộng, khóa cổng vân tay, để xe miễn phí, camera an ninh,* giờ giấc tự do, không chung chủ, tiếp khách thoải mái miễn là lịch sự* dân cư thân thiện, cư dân văn minh,* điện 3.5k . nước 35k/m3* giá: 4.300.000đ - 4.500.000đchi tiết liên hệ:mr.phong: 098.559.3162"
0,03/2021,3000000,20.0,21.000693,105.8194,Nhatang,3.7,73.5,Khepkin,6,3,1,1,1,1,0,0,0,1,0,0,0,1,"Số 23 ngõ 47 Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","chính chủ   full đồ ngã tư sở+  đẹp cách chân cầu vượt 50m đi bộ, gần khu vip royal city. gần đại học thủy lợi, công đoàn, hv ngân hàng..+ nội thất gồm: nóng lạnh, điều hòa, giường, tủ, đệm, bàn trà, tủ bếp, bàn bếp, giá sách....+ giờ giấc thoải mái, không chung chủ, camera an ninh hành lang, cửa từ khóa vân tay+ tiếp khách thoải mái miễn là lịch sự+ chỗ để xe rộng dãi, có bảo vệ trônggiá thuê từ 2.800.000đ - 3.500.000đkhu trọ văn minh, lịch sự như tâymọi chi tiết liên hệ: 0982254153anh quý rất thân thiện"
230,01/2021,6600000,50.0,21.012272,105.807062,Nhatang,4.0,37.5,Khepkin,10,8,1,0,1,1,1,1,0,0,0,1,0,1,"6/171 Phố Nguyễn Ngọc Vũ, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội"," căn hộ 02  ngủ, 171 nguyễn ngọc vũ, trung hoà.  địa chỉ: số ...ngõ 171 nguyễn ngọc vũ, trung hoà, cầu giấy, hà nội.  50m2.- thang máy nhập êm nhẹ- internet wifi từng .- tầng 1 để xe máy miễn phí.- thiết bị vệ sinh cao cấp- điều hòa- bình nóng lạnh- tủ lạnh- máy giặt-tủ sấy quần áo- và một số nội thất cơ bản.cửa vân tay tự động, không ở chung chủ nên thoải mái về giờ giấc. giá 7tr6 - 9tr3* không chung chủ, camera 24/24————————-liên hệ chính chủ 0931526777 - 0905408669"
11,03/2021,3500000,30.0,20.96347,105.788393,Nhatang,5.2,20.0,Khepkin,4,2,1,1,1,1,1,1,0,1,1,1,1,1,"Số 07, ngõ 14 Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội","- nhà cực đẹp full nội thất mới - chỉ việc mang vali vào ở.-  đẹp, sạch sẽ thoáng mát gần: hv quân y, viện bỏng, viện k tân triều, kđt xa la, chợ hà đông,...- giá 3.5tr - 4tr - 4tr5/tháng. đóng 1 cọc 1 tháng (ở được luôn).- ban công cực đẹp, gác xép rộng rãi.- thang máy tốc độ cao.mô tả chung.- full nội thất điều hòa, nóng lạnh, tủ lạnh, giường, tủ, phơi đồ, bàn học, để xe miễn phí, camera an ninh, máy giặt, kệ bếp.- cổng khóa vân tay đảm bảo an toàn.- chính chủ miễn môi giới.- điện 3,5k/ số.- nước 20k/số.- hàng tuần có người qua dọn vệ sinh chung cả nhà thường xuyên.- không ở chung chủ. giờ giấc đi lại thoải mái, tiếp bạn bè vô tư miễn là lịch sự - hợp đồng lâu dài không tăng giá, chu kỳ đóng tiền nhà 1 tháng 1 lần, đặt cọc 1 tháng tiền nhà."
24,12/2020,3400000,25.0,21.052268,105.811574,Nhatang,4.8,87.0,Khepkin,10,10,1,0,1,1,1,1,0,1,0,0,1,1,"45A đường Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội"," cần nhượng lại  như ảnh, đầy đủ nội thất, chỉ việc xách vali đến. ở miễn phí từ giờ tới ngày 31/12.giá thuê: 3,4 triệu đồng/tháng (cọc tiền nhà 1 tháng), thanh toán tiền nhà hàng tháng.điện nước trả theo hóa đơn nhà nước: điện ~ 2.700đ/số, nước chia đầu người ~ 65k/tháng, internet chia đầu người ~ 25k/tháng.được sử dụng các đồ đạc chung trong nhà bao gồm: bếp, dụng cụ nấu ăn, tủ lạnh, máy giặt, nóng lạnh, điều hòa, quạt, hút bụi.có người đổ rác dọn vệ sinh 1 lần/tuần.để xe rộng dãi tầng 1, không phát sinh thêm chi phí.nhà cách hồ tây 50m, có ban công và sân thượng nhìn ra hồ thuận tiện cho các bạn đi dạo, thư giãn, bbq trên sân thượng.an ninh đảm bảo, giờ giấc tự do, môi trường trong lành và yên tĩnh do nằm trong khu công đoàn, nhiều cây xanh, hàng xóm là người trong quân đội đã về hưu. đã ở đây gần 1 năm, mọi thứ ok nhưng giờ chuyển sang nhà mới nên cần nhượng lại  để lấy tiền cọc.bạn nào thích có thể chuyển đến ở luôn, không phải thanh toán tiền nhà từ giờ tới cuối tháng vì  đã trả tiền thuê tháng 12 rồi nhé.tel. 0356785138"
12,03/2021,2800000,25.0,20.988254,105.836774,Ccmn,3.5,25.0,KKK,4,3,1,1,1,1,0,0,0,1,0,0,0,1,"Số nhà 06 ngõ 256 Phố Nguyễn Lân Đường Trường Chinh, Quận Thanh Xuân, Hà Nội"," căn chung cư mini còn 2  tầng hai.đầy đủ điều hòa nóng lạnh, khép kín, có ban, công bếp.ở được ba, bốn ngườicó 2 loại +  to có thể ngăn thành  đôi, để được hai giường và bàn ghế ở được bốn người giá 4tr/tháng. 40m2+  nhỏ hơn ở 2 đến 3 người giá 2tr8 triệu/tháng. 25m2giao thông thuận lợi cạnh đường lớn nguyễn lân gần chợ, trường đai học lớn bách khoa, xây dựng, kinh tế, y, ngân hàng ....có chỗ để xenhà cạnh đường lớn giao thông thuận lơi, ko bị tắc đường nhưtrường chinh, lê trọng tấn......đc: số nhà 06 ngõ 256 phố nguyễn lân đường trường chinh hà nội.đt liên lạc 0912966199"
13,03/2021,2500000,20.0,20.991376,105.817363,Nhatang,4.18,5.0,KKK,2,3,0,0,1,1,0,0,0,0,0,0,0,0,"29 Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","cô có căn nhà 5 tầng tại số 29 ngõ 295 bùi xương trạch  theo từng  hoặc từng tầng,  rộng 25m2, lát sàn gỗ, có điều hòa, có cửa sổ thoáng mát sạch sẽ, 2  dùng chung wc có nóng lạnh, không ở chung chủ điện nước theo giá nhà nước. giá thuê 2,5 triệu/tháng. hiện nay còn 2  tầng 4 và 1  tầng 5.bạn nào có nhu cầu thuê . liên hệ cô thùy: 0945931616."
18,03/2021,2800000,15.0,20.990847,105.831857,Nhatang,4.1,37.0,Khepkin,4,2,1,0,1,1,0,1,0,0,0,0,1,1,"số 53 ngõ 51 Phố Trần Điền, Phường Định Công, Quận Hoàng Mai, Hà Nội"," đẹp,sạch sẽ,có ban công- khu dân trí cao-oto đi tận cửa nhà-tầng 1 để xe miễn phí ,- máy giặt miễn phí cả nhà dùng chung, dây phơi quần áo thoáng ở và ban công- nhà vệ sinh đẹp, rộng rãi, lịch sự, vòi hoa sen, nóng lạnh, bệt,gương,...- có điều hòa, nóng lạnh, giường, tủ, máy giặt...- có camera an ninh- internet cáp quang tốc độ cao- điện 3,5k/ số- nước 80k/ người.- tuần có người qua dọn vệ sinh chung cả nhà thường xuyên.- không ở chung chủ. giờ giấc đi lại thoải mái, tiếp bạn bè vô tư miễn là lịch sự - hợp đồng lâu dài không tăng giá, chu kỳ đóng tiền nhà 1 tháng 1 lần, đặt cọc 1 tháng tiền nhà"
18,03/2021,2700000,15.0,20.990847,105.831857,Nhatang,4.1,100.79,Khepkin,4,2,1,0,1,1,0,1,0,0,0,0,1,1,"59 ngõ 51 Phố Trần Điền, Phường Định Công, Quận Hoàng Mai, Hà Nội","sạch sẽ,có ban công- khu dân trí cao-oto đi tận cửa nhà-tầng 1 để xe miễn phí ,- máy giặt miễn phí cả nhà dùng chung, dây phơi quần áo thoáng ở và ban công- nhà vệ sinh đẹp, rộng rãi, lịch sự, vòi hoa sen, nóng lạnh, bệt,gương,...- có điều hòa, nóng lạnh, giường, tủ, máy giặt...- có camera an ninh- internet cáp quang tốc độ cao- điện 3,5k/ số- nước 80k/ người.- tuần có người qua dọn vệ sinh chung cả nhà thường xuyên.- không ở chung chủ. giờ giấc đi lại thoải mái, tiếp bạn bè vô tư miễn là lịch sự - hợp đồng lâu dài không tăng giá, chu kỳ đóng tiền nhà 1 tháng 1 lần, đặt cọc 1 tháng tiền nhà"
14,03/2021,3600000,28.0,21.008912,105.796743,Nhatang,3.5,23.0,Khepkin,5,4,1,1,1,1,0,0,0,1,0,1,0,1,"ngõ 204, trần duy hưng, trung hòa, cầu giấy, hà nội","tòa nhà được thiết kế hiện đại có cầu thang máy đi lên các tầng, cổng được thiết kế khóa vân tay nên ai ở thì mới vào được nhà.- bố trí căn hộ trong ngôi nhà:+ tầng 1: chỗ để xe rộng rãi.+ từ tầng 2 - tầng 5: mỗi tầng được thiết kế 2 căn hộ khép kín, nhiều cửa sổ đảm bảo ánh sáng vào trong các .+   28m2 - 30m2.- nội thất: bình nóng lạnh, bàn bếp, thiết bị vệ sinh cao cấp...giá : 3.6 triệu/căn.+   30m2.- nội thất: điều hòa, giường, tủ quần áo, bình nóng lạnh, bàn bếp, thiết bị vệ sinh cao cấp...giá : 3.8 triệu/căn.: ngõ 204, trần duy hưng, trung hòa, cầu giấy, hà nội.liên hệ chủ nhà: 0985.466.872.ưu tiên hộ gia đình ở lâu dài và tử tế."
10,03/2021,3000000,30.0,21.014343,105.849397,Nhatang,3.5,11.5,Khepkin,4,3,1,0,1,1,1,0,0,0,0,0,0,0,"149 Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội","tổng  30m2. gồm:- đệm nằm.- điều hoà.- bình nóng lạnh.- tủ lạnh.- quạt.trong bán kính 500m có.- vincom bà triệu (cách 30m).- trường mầm non hoa phượng.- trường tiểu học bà triệu, trường cấp 2 tây sơn, vân hồ.- công viên thống nhất.- triển lãm vân hồ.- bệnh viện mắt quốc tế.- chợ thể giao, chợ nguyễn công trứ.- kfc.- starbuck, aha, the coffee house, paris gateaux...giá thuê.- 3 triệu/tháng.- đặt cọc 1 tháng.- điện nước theo giá nhà nước (đồng hồ riêng).- wifi tự thanh toán.liên hệ a lân (chính chủ) xem nhà (miễn trung gian) 0869804983"
15,03/2021,3500000,28.0,21.028082,105.795364,Nhatang,3.5,15.0,Khepkin,5,2,1,0,0,1,0,0,0,1,0,0,0,0,"số 8b, ngách 80 ngõ 381 nguyễn khang, yên hòa, cầu giấy"," đẹp, rộng rãi, sạch sẽ, đầy đủ tiện nghi cao cấp, nằm ở số 8b, ngách 80 ngõ 381 nguyễn khang, yên hòa, cầu giấy.* 28m2 - nội thất: rèm cửa, kệ bếp, hệ thống nhà vệ sinh đầy đủ... - giá : 3,5 triệu/tháng* 28m2 - nội thất: điều hòa, giường, tủ quần áo, rèm cửa, kệ bếp, hệ thống nhà vệ sinh đầy đủ... - giá : 3,6 triệu/thángchỗ giữ xe rộng rãi, đảm bảo an toàn.giờ giấc đi lại thoải mái, nhà có lắp khóa vân tay nên chỉ người trong nhà mới đi ra vào được.ưu tiên hộ gia đình, người đi làm, nhóm bạn bè ở 2 3 người.liên hệ chủ nhà:0985.466.872"
19,03/2021,3500000,25.0,20.9874843,105.8124835,Ccmn,4.0,50.0,Khepkin,5,4,1,0,1,1,0,0,0,1,0,0,0,1,"Ngõ 420 Khương Đình,Quận Thanh Xuân, Hà Nội","Ccmn khép kín - khương đình - liên hệ: 0988367162.địa chỉ: số 8b/24 ngõ 420 khương đình - thanh xuân (khu ngã tư sở, gần royal city, đại học thủy lợi, khoa học tự nhiên).- còn 1 căn tầng 4 giá 3.5 tr/tháng,- vệ sinh khép kín- nội thất điều hòa, nóng lạnh, giường, tủ, kệ bếp, phơi đồ, để xe miễn phí, camera an ninh.mô tả chung.- chính chủ miễn môi giới.- nội thất điều hòa, nóng lạnh, giường, tủ, kệ bếp, phơi đồ, để xe miễn phí, camera an ninh.- hàng tuần có người qua dọn vệ sinh chung cả nhà thường xuyên.- không ở chung chủ. giờ giấc đi lại thoải mái, tiếp bạn bè vô tư miễn là lịch sự - hợp đồng lâu dài không tăng giá, chu kỳ đóng tiền nhà 1 tháng 1 lần, đặt cọc 1 tháng tiền nhà."
17,03/2021,2800000,20.0,20.9697318,105.7884985,Nhatang,5.57,5.0,Khepkin,6,4,1,0,1,1,0,1,0,1,0,0,0,1,"Số 12 ,ngõ 82 Đường Bạch Thái Bưởi, Phường Văn Quán, Quận Hà Đông, Hà Nội","kđt văn quán-phố bạch thái bưởi ( gần hồ văn quán, trường kiến trúc, an ninh, bệnh viện 103…)-  giao thông thuận tiện,xe buýt 39 đi qua cửa nhà- nhà  có  full nội thất giá 2tr3-2tr7-  20-30m2- cạnh điểm xe bus- nội thất đã trang bị điều hòa, quạt trần, nóng lạnh, giường, tủ, phơi đồ, kệ bếp, để xe miễn phí, camera an ninh, máy giặt…- internet cáp quang tốc độ cao, điện nước công tơ riêng.- miễn phí chỗ để xe máy rộng rãi an toàn- liên hệ: 0988367162-0347759126- chính chủ miễn môi giới- điện 3,5k/ số- nước 80k/ người.- hàng tuần có người qua dọn vệ sinh chung cả nhà thường xuyên.- không ở chung chủ. giờ giấc đi lại thoải mái, tiếp bạn bè vô tư miễn là lịch sự - hợp đồng lâu dài không tăng giá, chu kỳ đóng tiền nhà 1 tháng 1 lần, đặt cọc 1 tháng tiền nhà"
23,03/2021,3500000,30.0,21.0301539,105.7742632,Nhatang,6.16,3.0,Khepkin,7,3,1,0,1,1,0,1,0,1,0,1,1,1,"36 Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","nhà  có   tại ngõ 378 đường mỹ đình,mỹ đình 1, nam từ liêm, hà nội. mới 100%, sạch, đẹp. đã có đủ đồ: giường, tủ quần áo, quạt trần, điều hoà, nóng lạnh, tủ bếp, logia phơi quần áo trong các  khép kín, có ban công, cửa sổ thoáng mát, ánh sáng tự nhiên.giờ giấc tự do, không chung chủ.có khoá vân tay, an ninh tốt, camera 24/7, thang máy.chỗ để xe miễn phí.máy giặt miễn phí, có sân phơi đồ trên tầng thượng.khu vực gần chợ, trường học, gần keangnam, thuận tiện đi lại, sinh hoạt.giá: 3tr5-3tr8liên hệ chính chủ: 093 610 9629 (cô hằng)"
21,03/2021,5000000,35.0,21.010324,105.777446,Ccmn,4.8,50.0,Khepkin,8,5,1,1,1,1,1,1,0,1,0,1,0,1,"số 12, ngõ 89 mễ trì thượng, mễ trì, nam từ liêm","chính chủ cho  kiểu Ccmn tại số 12, ngõ 89 mễ trì thượng, mễ trì, nam từ liêm (cuối ngõ 4 đồng me đi vào khoảng 30m) trong tòa nhà 6 tầng thang máy,  35m2, 1 ngủ 1 khách, bếp ngăn riêng biệt với  không lo ám mùi. - : cách mầm non mễ trì hạ 50m, cách cấp 1&2 mễ trì 50m, cách chợ mễ trì hạ 100m, cách đường mễ trì 100m, cách the garden 200m, cách keangnam 500m... - nhà đã có đủ đồ như : điều hòa, nóng lạnh, tủ lạnh, máy giặt, giường, tủ, táp, bàn phấn, rèm, bàn ghế, tủ bếp, bếp từ, wifi tốc độ cao...để xe miễn phí. - : 35m2 - giá: 5tr/tháng - lhcc: 0969139826(nhà mới 100% vào ở được ngay, khách chỉ việc xách đồ tới ở)"
30,04/2021,3300000,28.0,20.994409,105.776969,Ccmn,5.4,49.7,Khepkin,10,10,1,1,1,1,0,0,0,1,0,0,0,1,"26 ngõ 10 Đường Đại Linh, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội","Chính chủ cho thuê Ccmn ngõ 10 Đại Linh, Trung Văn giá 2,8 triệu/tháng.Vị trí: Số 14 ngõ 10 Đại Linh, Trung Văn, Nam Từ Liêm Hà Nội.Ngôi nhà gần chợ và các trung tâm như: Trung tâm hội nghị quốc gia 800m, cách đường Tố Hữu 800m, cách Big C Thăng Long 1km, cách Keangnam 2km.Cách điểm đón xe bus số 33 500mRất thuận lợi cho việc đi lại.Bố trí: Gồm 6 tầng 100% trong đó.+ Tầng 1 để xe và 1 phòng khép kín.+ Tầng 2 đến tầng 6 mỗi tầng 3 phòng khép kín.Diện tích: Diện tích mỗi phòng khoảng 25m2.Nội thất: Giường, tủ quần áo, nóng lạnh, điều hòa, bàn bếp, chậu rửa.Giá dịch vụ: Điện 3.000/kw.Nước 30k/m3.Mạng 100k/phòng, vệ sinh chung 50k/phòng.Thang máy 50k/người lớn.Giá cho thuê 2,8 đến 3,3 triệu/tháng"
29,03/2021,2800000,30.0,20.999623,105.824757,Nhatang,3.0,40.0,Khepkin,4,3,0,0,1,1,0,0,0,0,0,0,0,1,"24/106 Đường Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","chính chủ   khép kín ở ngõ 106 nguyễn ngọc nại, giá 2,8 triệu/tháng.  rộng 30m2, có cữa sổ, có nóng lạnh điều hoà có wc khép kín, có chổ để xe ở tầng 1.ở riêng chủ đi về tự khoá mở. ô tô vào tận nhà.còn  ở tầng 4 giá 2,8 triệu/tháng. điện nước cả nhà dùng tự chia theo giá nhà nước.ai có nhu cầu thuê liên hệ chủ nhà: đt 0945931616."
29,03/2021,2900000,30.0,20.999623,105.824757,Nhatang,3.7,40.0,Khepkin,6,3,0,0,1,1,0,0,0,0,0,0,0,1,"Số nhà 24, Ngõ 106 Đường Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","chính chủ   khép kín ở ngõ 106 nguyễn ngọc nại, giá 2,8 triệu/tháng.  rộng 30m2, có cữa sổ, có nóng lạnh điều hoà có wc khép kín, có chổ để xe ở tầng 1.ở riêng chủ đi về tự khoá mở. ô tô vào tận nhà.còn  ở tầng 4 giá 2,8 triệu/tháng. điện nước cả nhà dùng tự chia theo giá nhà nước.ai có nhu cầu thuê liên hệ chủ nhà: đt 0945931616."
25,04/2021,3500000,30.0,20.995139,105.816691,Nhatang,5.0,70.0,Khepkin,4,5,0,0,1,1,0,0,0,1,0,0,0,1,"24, ngách 130, ngõ 162 Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","  rộng 30m2 gần ngã tư sở-  khép kín, đầy đủ tiện nghi: điều hòa, nóng lạnh, wifi, truyền hình cáp,…-bếp, sân phơi, chỗ để xe riêng biệt.- nhà nằm trong ngõ lớn, không gian riêng tư, yên tĩnh, sạch sẽ, thoáng mát, an ninh đảm bảo.* : giao thông thuận lợi, tiện đường, tiện chợ; gần trung tâm thương mại royal city, mipec tower tây sơn, cách đại học y, học viện ngân hàng 5p xe máy.*giá thuê chỉ: 3.5 triệu/tháng, được ở 2 người. miễn phí truyền hình cáp, gửi xe*địa chỉ: số nhà 24, ngách 130, ngõ 162 khương trung, q. thanh xuân, hà nội.lh: cô hương – đt: 0989062136"
27,04/2021,2500000,15.0,21.020601,105.828399,Nhatang,3.5,50.0,Khepkin,5,2,0,0,1,1,0,0,0,0,0,0,0,0,"ngách 418/75 Đê La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","nhà gần trường đh văn hóa, mới xây thoáng mát.  ở sạch đẹp, sàn gỗ, 16m2, đầy đủ tiện nghi điện nước, nóng lạnh, điều hòa, wifi, có chỗ phơi phóng, nấu ăn, giờ giấc thoải mái. nhà trong khu cổng sau trường đh văn hóa, an ninh tốt, ngõ rộng thoáng, rất tiện đi lại, sinh hoạt. điện, nước tính theo mặt bằng chung hợp lý."
